SEASON_YEAR,PLAYER_ID,PLAYER_NAME,NICKNAME,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,WNBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK,WNBA_FANTASY_PTS_RANK,AVAILABLE_FLAG,MIN_SEC,TEAM_COUNT,USG_PCT,TS_PCT,EFG_PCT,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,PACE,PLAYER_LABEL,TEAM_LABEL
2025-26,1641705,Victor Wembanyama,Victor,1610612759,SAS,San Antonio Spurs,0022500998,2026-03-17T00:00:00,SAS @ SAC,W,21.991666666666667,7,14,0.5,2,7,0.286,2,2,1.0,0,8,8,3,0,0,1,0,2,3,18,23,35.1,0,0,33.0,1,1,1,1,56,40,45,31,18,15,34,51,57,1,55,39,47,23,57,45,49,1,18,57,48,9,57,43,2,56,1,21:60,1,0.306,0.605,0.571,147.8,97.8,50.0,0.167,0.0,0.276,0.17,0.0,100.4,Victor Wembanyama,SAS
2025-26,1641705,Victor Wembanyama,Victor,1610612759,SAS,San Antonio Spurs,0022500990,2026-03-16T00:00:00,SAS @ LAC,W,33.85,9,20,0.45,2,9,0.222,1,3,0.333,1,12,13,2,3,1,4,0,0,6,21,7,51.6,1,0,48.0,1,1,1,1,15,24,18,48,18,6,40,59,50,61,38,14,22,39,13,16,18,1,1,31,41,39,34,1,2,36,1,33:51,1,0.279,0.492,0.5,119.4,107.4,12.1,0.1,0.024,0.308,0.16,11.5,95.72,Victor Wembanyama,SAS
2025-26,1641705,Victor Wembanyama,Victor,1610612759,SAS,San Antonio Spurs,0022500973,2026-03-14T00:00:00,SAS vs. CHA,W,31.345,13,24,0.542,5,10,0.5,1,2,0.5,2,10,12,8,2,2,4,1,3,6,32,6,74.4,1,0,69.0,1,1,1,1,22,5,2,25,4,3,13,59,57,54,21,23,26,2,29,7,18,39,38,31,13,42,8,1,2,7,1,31:21,1,0.36,0.643,0.646,120.3,110.9,9.4,0.471,0.063,0.263,0.171,5.7,98.01,Victor Wembanyama,SAS
2025-26,1641705,Victor Wembanyama,Victor,1610612759,SAS,San Antonio Spurs,0022500942,2026-03-10T00:00:00,SAS vs. BOS,W,36.568333333333335,11,20,0.55,8,15,0.533,9,12,0.75,2,9,11,3,6,1,2,0,2,6,39,5,59.7,1,0,67.0,1,1,1,1,6,11,18,21,1,1,12,14,6,41,21,30,33,23,3,16,37,1,18,31,6,45,21,1,2,8,1,36:34,1,0.386,0.771,0.75,128.9,122.4,6.6,0.13,0.063,0.257,0.164,17.1,99.76,Victor Wembanyama,SAS
2025-26,1641705,Victor Wembanyama,Victor,1610612759,SAS,San Antonio Spurs,0022500927,2026-03-08T00:00:00,SAS vs. HOU,W,30.333333333333332,9,13,0.692,2,5,0.4,9,10,0.9,1,7,8,1,0,2,4,0,1,8,29,27,58.1,0,0,52.0,1,1,1,1,28,24,51,5,18,33,23,14,15,26,38,46,47,51,57,7,18,1,6,12,19,7,25,43,2,27,1,30:20,1,0.227,0.833,0.769,136.2,101.5,34.7,0.042,0.038,0.233,0.143,0.0,106.81,Victor Wembanyama,SAS
2025-26,1641705,Victor Wembanyama,Victor,1610612759,SAS,San Antonio Spurs,0022500913,2026-03-06T00:00:00,SAS vs. LAC,W,21.55,11,21,0.524,4,9,0.444,1,2,0.5,3,7,10,1,1,1,4,2,2,1,27,10,54.5,1,0,52.0,1,1,1,1,58,11,11,29,7,6,20,59,57,54,9,46,39,51,46,16,18,58,18,62,25,35,31,1,2,27,1,21:33,1,0.418,0.617,0.619,119.6,97.8,21.7,0.083,0.12,0.28,0.2,4.2,102.46,Victor Wembanyama,SAS
2025-26,1641705,Victor Wembanyama,Victor,1610612759,SAS,San Antonio Spurs,0022500904,2026-03-05T00:00:00,SAS vs. DET,W,38.84166666666667,12,24,0.5,4,10,0.4,10,11,0.909,2,14,16,3,0,0,5,2,5,12,38,20,76.7,1,0,71.0,1,1,1,1,3,8,2,31,7,3,23,6,11,24,21,6,6,23,57,45,6,58,58,2,8,13,3,1,2,4,1,38:51,1,0.333,0.659,0.583,131.3,107.6,23.7,0.125,0.059,0.311,0.203,0.0,98.25,Victor Wembanyama,SAS
2025-26,1641705,Victor Wembanyama,Victor,1610612759,SAS,San Antonio Spurs,0022500888,2026-03-03T00:00:00,SAS @ PHI,W,24.116666666666667,3,5,0.6,1,1,1.0,3,5,0.6,0,8,8,4,3,3,6,0,0,6,10,41,49.6,0,0,41.0,1,1,1,1,53,62,64,13,33,60,1,42,39,52,55,39,47,12,13,2,3,1,1,31,63,1,40,43,2,47,1,24:07,1,0.167,0.694,0.7,143.6,67.9,75.8,0.154,0.0,0.222,0.14,21.4,110.46,Victor Wembanyama,SAS
2025-26,1641705,Victor Wembanyama,Victor,1610612759,SAS,San Antonio Spurs,0022500868,2026-03-01T00:00:00,SAS @ NYK,L,34.2,8,17,0.471,1,7,0.143,8,9,0.889,1,12,13,2,7,0,4,0,2,7,25,-15,48.6,1,0,49.0,1,51,51,51,14,30,29,40,33,15,49,21,22,29,38,14,22,39,2,45,18,1,18,16,33,63,41,1,2,31,1,34:12,1,0.333,0.596,0.5,90.4,108.0,-17.6,0.133,0.027,0.273,0.16,23.3,103.86,Victor Wembanyama,SAS
2025-26,1641705,Victor Wembanyama,Victor,1610612759,SAS,San Antonio Spurs,0022500851,2026-02-26T00:00:00,SAS @ BKN,W,25.95,3,9,0.333,0,4,0.0,6,6,1.0,2,6,8,5,1,2,2,0,5,6,12,15,40.1,0,0,33.0,1,1,1,1,50,62,61,60,51,38,51,27,32,1,21,51,47,9,46,7,37,1,58,31,60,22,51,43,2,56,1,25:57,1,0.21,0.515,0.333,133.9,105.3,28.7,0.227,0.071,0.222,0.145,5.6,104.51,Victor Wembanyama,SAS
2025-26,1641705,Victor Wembanyama,Victor,1610612759,SAS,San Antonio Spurs,0022500843,2026-02-25T00:00:00,SAS @ TOR,W,29.656666666666666,3,12,0.25,1,6,0.167,5,6,0.833,0,8,8,3,3,1,5,0,2,7,12,19,41.1,0,0,36.0,1,1,1,1,32,62,54,63,33,23,47,33,32,33,55,39,47,23,13,16,6,1,18,16,60,14,48,43,2,51,1,29:39,1,0.261,0.41,0.292,115.6,84.6,31.0,0.13,0.0,0.205,0.121,14.3,104.39,Victor Wembanyama,SAS
2025-26,1641705,Victor Wembanyama,Victor,1610612759,SAS,San Antonio Spurs,0022500828,2026-02-23T00:00:00,SAS @ DET,W,35.6,6,16,0.375,2,5,0.4,7,8,0.875,8,9,17,4,3,1,6,0,4,7,21,13,65.4,1,0,58.0,1,1,1,1,10,50,33,57,18,33,23,24,23,30,1,30,5,12,13,16,3,1,51,16,41,30,15,1,2,21,1,35:36,1,0.258,0.538,0.438,112.8,94.9,17.9,0.154,0.2,0.167,0.181,11.1,105.84,Victor Wembanyama,SAS
2025-26,1641705,Victor Wembanyama,Victor,1610612759,SAS,San Antonio Spurs,0022500815,2026-02-21T00:00:00,SAS vs. SAC,W,29.75,11,20,0.55,1,5,0.2,5,7,0.714,1,14,15,6,1,1,4,1,3,4,28,32,69.0,1,0,60.0,1,1,1,1,29,11,18,21,33,33,43,33,30,48,38,6,10,4,46,16,18,39,38,48,23,4,13,1,2,17,1,29:45,1,0.28,0.607,0.575,136.6,92.9,43.8,0.222,0.038,0.368,0.234,3.4,113.75,Victor Wembanyama,SAS
2025-26,1641705,Victor Wembanyama,Victor,1610612759,SAS,San Antonio Spurs,0022500798,2026-02-19T00:00:00,SAS vs. PHX,W,24.75,7,15,0.467,1,4,0.25,2,2,1.0,1,10,11,4,1,1,5,2,1,1,17,23,53.2,1,0,45.0,1,1,1,1,52,40,38,44,33,38,37,51,57,1,38,23,33,12,46,16,6,58,6,62,50,9,32,1,2,41,1,24:45,1,0.293,0.535,0.5,138.5,94.2,44.2,0.2,0.043,0.286,0.19,4.8,100.85,Victor Wembanyama,SAS
2025-26,1641705,Victor Wembanyama,Victor,1610612759,SAS,San Antonio Spurs,0022500788,2026-02-11T00:00:00,SAS @ GSW,W,33.483333333333334,8,17,0.471,2,9,0.222,8,10,0.8,0,9,9,4,1,1,2,0,2,8,26,7,50.8,0,0,47.0,1,1,1,1,16,30,29,40,18,6,40,21,15,38,55,30,43,12,46,16,37,1,18,12,27,39,37,43,2,37,1,33:29,1,0.284,0.607,0.529,124.3,112.7,11.6,0.182,0.0,0.237,0.122,3.7,101.07,Victor Wembanyama,SAS
2025-26,1641705,Victor Wembanyama,Victor,1610612759,SAS,San Antonio Spurs,0022500774,2026-02-10T00:00:00,SAS @ LAL,W,26.1,13,20,0.65,4,6,0.667,10,12,0.833,1,11,12,2,4,2,1,0,2,9,40,22,62.4,1,0,64.0,1,1,1,1,48,5,18,7,7,23,6,6,6,33,38,18,26,39,8,7,49,1,18,9,3,11,19,1,2,11,1,26:06,1,0.492,0.791,0.75,142.9,100.0,42.9,0.154,0.048,0.44,0.261,12.5,104.83,Victor Wembanyama,SAS
